t_years,star_x,star_y,star_z,planet_x,planet_y,planet_z,moon_x,moon_y,moon_z,moon_rel_x,moon_rel_y,moon_rel_z,planet_rel_x,planet_rel_y,planet_rel_z,moon_planet_dist,planet_star_dist,moon_star_dist,star_vx,star_vy,star_vz,planet_vx,planet_vy,planet_vz,moon_vx,moon_vy,moon_vz,moon_speed,planet_speed,star_speed
0.0,-6.081604909808532e-06,-8.518948761967045e-09,0.0,0.2998525836301904,0.0004273756254411656,0.0,0.3023105703849331,0.0004064391207842639,0.0,0.0024579867547426804,-2.0936504656901707e-05,0.0,0.29985866523510024,0.0004273841443899276,0.0,0.0024580759190305133,0.29985896980711246,0.302316925212651,2.3867222114759847e-07,-0.00017037885584766878,0.0,-0.01079068891020494,8.54746203726368,0.0,-0.014124521280798002,8.128890735105523,0.0,8.128903006272484,8.547468848579147,0.00017037902301747667
5e-05,-6.0815870094082895e-06,-1.7037877224231813e-08,0.0,0.2998517742639011,0.0008547455612222066,0.0,0.3023095111995917,0.000812889189828079,0.0,0.0024577369356906242,-4.185637139412753e-05,0.0,0.2998578558509105,0.0008547625990994308,0.0,0.00245809332631701,0.29985907412417295,0.3023166857096199,4.773437885447184e-07,-0.00017037828264292195,0.0,-0.021583962661996,8.547335393977956,0.0,-0.02824289237259587,8.129112026647082,0.0,8.129161088497865,8.547362646137843,0.00017037895132158745
0.0001,-6.081557175457803e-06,-2.5556768665770696e-08,0.0,0.29985042516820276,0.0012821085236799166,0.0,0.3023077462539004,0.001219350436637683,0.0,0.002457321085697628,-6.275808704223366e-05,0.0,0.2998565067253782,0.0012821340804485824,0.0,0.002458122351654484,0.29985924780361045,0.30231628696383217,7.160142308962198e-07,-0.00017037737501863332,0.0,-0.032379865272222225,8.547183104330443,0.0,-0.04235493527917976,8.129337845737075,0.0,8.129448182421461,8.54724443751475,0.00017037887954385328
0.00015000000000000001,-6.081515408025108e-06,-3.4075606365670715e-08,0.0,0.299848536210578,0.0017094632318583633,0.0,0.30230527586865796,0.0016258230844257476,0.0,0.002456739658079965,-8.364014743261565e-05,0.0,0.29985461772598604,0.001709497307464729,0.0,0.002458163017752365,0.2998594906829555,0.3023157293540998,9.546830769242823e-07,-0.0001703761329773674,0.0,-0.04317843971872389,8.547005222807423,0.0,-0.0564604744181954,8.129568065785515,0.0,8.129764124586345,8.547114288246876,0.00017037880768481432
0.0002,-6.081461707201801e-06,-4.2594373603164704e-08,0.0,0.2998461072563866,0.0021368084075424243,0.0,0.30230210037338173,0.0020323073500407734,0.0,0.0024559931169951255,-0.00010450105750165091,0.0,0.2998521887180938,0.0021368510019160276,0.0,0.0024582153408003937,0.29985980259320477,0.30231501327379323,1.1933498553705572e-06,-0.00017037455652239224,0.0,-0.053979727935507274,8.546801804555013,0.0,-0.07055933663206972,8.129802558815523,0.0,8.1301087486767,8.546972264923575,0.00017037873574504283
0.00025,-6.081396073103041e-06,-5.1113053657666486e-08,0.0,0.299843138168918,0.0025641427752902328,0.0,0.302298220106186,0.002438803443899009,0.0,0.002455081937268011,-0.00012533933139122384,0.0,0.2998492195649911,0.0025641938883438904,0.0,0.0024582793304857055,0.2998601833588969,0.30231413913067107,1.4320140949983064e-06,-0.00017037264565767895,0.0,-0.06478377080844014,8.546572905357332,0.0,-0.08465135119772514,8.130041195513911,0.0,8.130481885596502,8.546818435157506,0.00017037866372514283
0.00030000000000000003,-6.081318505867551e-06,-5.9631629808806e-08,0.0,0.29983962880944354,0.002991465062464531,0.0,0.30229363541366017,0.0028453115699189025,0.0,0.0024540066042166297,-0.0001461534925456284,0.0,0.2998457101279494,0.00299152469409434,0.0,0.0024583549900130614,0.29986063279818786,0.3023131073467084,1.6706753245945297e-06,-0.00017037040038790147,0.0,-0.07559060817146757,8.546318581614596,0.0,-0.09873634983508882,8.130283845281847,0.0,8.130883363548497,8.5466528675555,0.00017037859162574994
0.00035,-6.081229005657611e-06,-6.815008533646444e-08,0.0,0.2998355790372692,0.0034187739992629263,0.0,0.3022883466507464,0.003251831925458088,0.0,0.0024527676134771803,-0.00016694207380483833,0.0,0.29984166026627485,0.0034188421493482626,0.0,0.0024584423161279996,0.2998611507229277,0.3023119183579237,1.909333072972079e-06,-0.00017036782071843615,0.0,-0.08640027880334707,8.54603889032121,0.0,-0.11281416671439969,8.130530376285583,0.0,8.13131300811339,8.546475631689349,0.00017037851944753113
0.0004,-6.0811275726590625e-06,-7.666840352080938e-08,0.0,0.2998309887097885,0.003846068318747052,0.0,0.30228235418061694,0.003658364701252907,0.0,0.002451365470828415,-0.0001877036174941448,0.0,0.2998370698373612,0.0038461449871505728,0.0,0.0024585412991426857,0.2998617369387378,0.3023105726142054,2.1479868689717588e-06,-0.00017036490665536133,0.0,-0.09721282042490108,8.545733889043818,0.0,-0.1268846384623179,8.130780655507197,0.0,8.131770642329244,8.54628679806657,0.00017037844719118453
0.00045000000000000004,-6.081014207081302e-06,-8.518656764232984e-08,0.0,0.2998258576825355,0.004273346756870632,0.0,0.3022756583745512,0.00406491008136047,0.0,0.0024498006920157245,-0.0002084366755101619,0.0,0.2998319386967426,0.004273431943438274,0.0,0.002458651922964788,0.2998623912450883,0.30230907057913675,2.3866362414644136e-06,-0.0001703616582054569,0.0,-0.10802826969678478,8.545403635899373,0.0,-0.14094760416684257,8.131034548795313,0.0,8.132256086770962,8.54608643810112,0.00017037837485743898
0.0005,-6.080888909157282e-06,-9.370456098187138e-08,0.0,0.29982018580923764,0.0047006080525064465,0.0,0.30226825961181253,0.004471468243103248,0.0,0.0024480738025748905,-0.0002291398094031987,0.0,0.29982626669814677,0.0047007017570674286,0.0,0.002458774165129205,0.2998631134353759,0.3023074127298205,2.6252807193530007e-06,-0.000170358075376204,0.0,-0.11884666221776655,8.545048189533196,0.0,-0.15500290538104353,8.131291920915778,0.0,8.132769159629872,8.545874624084117,0.000170378302447054
0.00055,-6.0807516791435094e-06,-1.0222236682067109e-07,0.0,0.2998139729418691,0.005127850947472204,0.0,0.30226015827952485,0.0048780393570161985,0.0,0.0024461853376557263,-0.0002498115904560052,0.0,0.29982005369354825,0.005127953169839024,0.0,0.002458907996832744,0.29986390329700274,0.3023055995567026,2.8639198315746473e-06,-0.00017035415817578438,0.0,-0.12966803252351794,8.544667609097093,0.0,-0.169050386125616,8.131552635602251,0.0,8.133309676793276,8.54565142915457,0.00017037822996081938
0.0006000000000000001,-6.0806025173200425e-06,-1.1073996844039269e-07,0.0,0.2998072189307039,0.005555074186555318,0.0,0.30225135477254944,0.005284623586796422,0.0,0.0024441358418455517,-0.0002704505997588964,0.0,0.2998132995332212,0.005555184926523758,0.0,0.0024590533829715877,0.2998647606114545,0.30230363156339546,3.1025531071026947e-06,-0.00017034990661308008,0.0,-0.1404924140859096,8.544261954227485,0.0,-0.18308989289026498,8.131816555606665,0.0,8.133877451923972,8.545416927270136,0.00017037815739955487
