t_years,star_x,star_y,star_z,planet_x,planet_y,planet_z,moon_x,moon_y,moon_z,moon_rel_x,moon_rel_y,moon_rel_z,planet_rel_x,planet_rel_y,planet_rel_z,moon_planet_dist,planet_star_dist,star_vx,star_vy,star_vz,planet_vx,planet_vy,planet_vz,moon_vx,moon_vy,moon_vz,moon_speed,planet_speed,star_speed
0.0,-4.264858382754858e-06,-5.974079333402192e-09,0.0,0.3005895124847092,0.00042097703867350033,0.0,0.30210108718240924,0.00044336335153227795,0.0,0.0015115746977000244,2.238631285877762e-05,0.0,0.30059377734309195,0.0004209830127528337,0.0,0.0015117404584551978,0.3005940721373017,1.6736609252596093e-07,-0.00011948146992539729,0.0,-0.011771535251752932,8.419534887801342,0.0,-0.018099921937453967,8.86768592953425,0.0,8.867704401480344,8.419543116817334,0.00011948158714606425
5e-05,-4.264845830310226e-06,-1.1948141131538535e-08,0.0,0.30058862962367333,0.0008419530846486078,0.0,0.3020997288071103,0.0008867658888538861,0.0,0.001511099183436948,4.48128042052783e-05,0.0,0.30059289446950366,0.0008419650327897393,0.0,0.0015117635164285954,0.30059407364529095,3.347316927301979e-07,-0.00011948100200005641,0.0,-0.023542906185188076,8.419506951202957,0.0,-0.03623509002283822,8.868415563330077,0.0,8.86848958874419,8.419539866868412,0.00011948147088249123
0.0001,-4.264824909606103e-06,-1.792217367242967e-08,0.0,0.30058715819866577,0.001262927329781385,0.0,0.30209746282162797,0.0013302021739296894,0.0,0.0015103046229621997,6.72748441483044e-05,0.0,0.3005914230235754,0.0012629452519550574,0.0,0.0015118022221164284,0.3005940761659276,5.020964721894321e-07,-0.00011948029963558909,0.0,-0.035314094117303116,8.419462854108126,0.0,-0.05440432927149891,8.869035839702054,0.0,8.869202701312165,8.41953691345016,0.0001194813546201981
0.00015000000000000001,-4.264795620691736e-06,-2.3896165234153805e-08,0.0,0.3005850982193001,0.0016838989661661955,0.0,0.30209428755270595,0.0017736667092540866,0.0,0.0015091893334058804,8.976774308789106e-05,0.0,0.3005893630149208,0.0016839228623314296,0.0,0.0015118567034494968,0.30059407970537627,6.694601024819131e-07,-0.00011947936283337634,0.0,-0.0470850805105435,8.419402601284292,0.0,-0.07260642761119881,8.869545573273836,0.0,8.869842747744288,8.419534260712963,0.00011948123835941108
0.0002,-4.264757963632794e-06,-2.9870104094869684e-08,0.0,0.300582449696113,0.0021048671861357404,0.0,0.30209020138862774,0.002217153938281483,0.0,0.0015077516925147694,0.00011228675214574246,0.0,0.3005867144540766,0.0021048970562398354,0.0,0.0015119270752878894,0.3005940842696575,8.368222551880806e-07,-0.00011947819159525879,0.0,-0.05885584697433979,8.419326197497497,0.0,-0.09084013551715425,8.86994358782201,0.0,8.870408738122814,8.419531912796026,0.00011948112210035587
0.00025,-4.264711938511366e-06,-3.584397853283957e-08,0.0,0.300579212640557,0.002525831182260879,0.0,0.3020852027810979,0.002660658245911844,0.0,0.0015059901405409248,0.00013482706365096483,0.0,0.30058347735249547,0.002525867026239412,0.0,0.001512013439258797,0.30059408986464187,1.0041826018912266e-06,-0.0001194767859235367,0.0,-0.07062637526653703,8.419233647508051,0.0,-0.10910416567527932,8.87022871739245,0.0,8.870899684802067,8.419529873824013,0.00011948100584325762
0.00030000000000000003,-4.264657545425964e-06,-4.181777682645223e-08,0.0,0.300575387064993,0.002946790147350232,0.0,0.30207929024713914,0.0031041739590327924,0.0,0.0015039031821461601,0.00015738381168256023,0.0,0.3005796517225384,0.0029468319651270586,0.0,0.00151211588360452,0.3005940964960443,1.1715408141781572e-06,-0.00011947514582096993,0.0,-0.08239664729470969,8.41912495606606,0.0,-0.12739719267523275,8.870399807445496,0.0,8.871314603182023,8.419528147903526,0.00011948088958834091
0.00035,-4.264594784491518e-06,-4.779148725424592e-08,0.0,0.3005709729826827,0.0033677432744495554,0.0,0.3020724623710039,0.0035476953471196655,0.0,0.0015014893883211755,0.0001799520726701101,0.0,0.3005752375774672,0.0033677910659368096,0.0,0.001512234483041359,0.30059410416941756,1.338896563639856e-06,-0.00011947327129077789,0.0,-0.094166645117356,8.419000127906871,0.0,-0.14571785273488394,8.87045571602944,0.0,8.871652512505493,8.41952673911952,0.00011948077333582981
0.0004,-4.26452365583938e-06,-5.3765098094931353e-08,0.0,0.30056597040778116,0.0037886897568408864,0.0,0.30206471780609906,0.003991216622894942,0.0,0.0014987473983179012,0.00020252686605405548,0.0,0.300570234931437,0.0037887435219389814,0.0,0.0015123692986299196,0.3005941128901467,1.5062495218721469e-06,-0.00011947116233663964,0.0,-0.10593635094496526,8.41885916774638,0.0,-0.16406474345781247,8.870395314981627,0.0,8.871912436678683,8.419525651531611,0.00011948065708594777
0.00045000000000000004,-4.264444159617322e-06,-5.973859762741469e-08,0.0,0.30056037935532903,0.004209628788041452,0.0,0.302056055276922,0.0044347319430483945,0.0,0.0014956759215929427,0.0002251031550069421,0.0,0.30056464379948866,0.00420968852663908,0.0,0.0015125203776567698,0.30059412266344265,1.6735993604763575e-06,-0.00011946881896269375,0.0,-0.11770574714095167,8.418702080276248,0.0,-0.18243642362546683,8.870217491156463,0.0,8.872093405114901,8.419524889170269,0.00011948054083891769
